Time(ms),USB(mA),USB Voltage(V),
np.float64(0.15886878967285156),np.float64(234.1251248154689),np.float64(4.9165),
np.float64(0.15906095504760742),np.float64(234.0589481433332),np.float64(4.917),
np.float64(0.15925884246826172),np.float64(233.5162994318204),np.float64(4.91725),
np.float64(0.1594548225402832),np.float64(236.5074850123543),np.float64(4.913375),
np.float64(0.15967488288879395),np.float64(237.606017769807),np.float64(4.91525),
np.float64(0.15986084938049316),np.float64(235.9251302975601),np.float64(4.915375),
np.float64(0.16007399559020996),np.float64(234.61483218927313),np.float64(4.917),
np.float64(0.1602637767791748),np.float64(234.09865414661462),np.float64(4.916375),
np.float64(0.16048669815063477),np.float64(234.3501255007303),np.float64(4.91775),
np.float64(0.1606898307800293),np.float64(230.45893717915084),np.float64(4.92075),
np.float64(0.1608588695526123),np.float64(229.92952380206518),np.float64(4.9186250000000005),
np.float64(0.16105008125305176),np.float64(231.75599995301064),np.float64(4.9182500000000005),
np.float64(0.16125988960266113),np.float64(232.444237343222),np.float64(4.917375),
np.float64(0.16148877143859863),np.float64(233.6751234449461),np.float64(4.9165),
np.float64(0.16166901588439941),np.float64(233.7413001170818),np.float64(4.9175),
np.float64(0.16188573837280273),np.float64(233.29129874655902),np.float64(4.91725),
np.float64(0.16207575798034668),np.float64(233.1589454022876),np.float64(4.91675),
np.float64(0.16227197647094727),np.float64(233.78100612036323),np.float64(4.91675),
np.float64(0.1624770164489746),np.float64(233.33100474984045),np.float64(4.91675),
np.float64(0.1626908779144287),np.float64(233.9927714711975),np.float64(4.9165),
np.float64(0.1628730297088623),np.float64(233.7677707859361),np.float64(4.9165),
np.float64(0.16308283805847168),np.float64(233.7413001170818),np.float64(4.917),
np.float64(0.1632838249206543),np.float64(234.09865414661462),np.float64(4.91725),
np.float64(0.16357088088989258),np.float64(233.11923939900618),np.float64(4.917625),
np.float64(0.1636950969696045),np.float64(233.1589454022876),np.float64(4.91675),
np.float64(0.16389083862304688),np.float64(234.9589508843788),np.float64(4.9155),
np.float64(0.16408991813659668),np.float64(236.29571966152002),np.float64(4.91625),
np.float64(0.1642930507659912),np.float64(234.3501255007303),np.float64(4.91725),
np.float64(0.1644878387451172),np.float64(233.64865277609184),np.float64(4.91675),
